Age,AnnualIncome,CreditScore,EmploymentStatus,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,BankruptcyHistory,PaymentHistory,TotalAssets,TotalLiabilities,MonthlyIncome,NetWorth,MonthlyLoanPayment,RiskScorePercentage
42,99920,582,Self-Employed,23363,12,Single,3,Other,0,20,27778,23569,8326.666667,4209,2136.847993,60.0
38,57860,591,Employed,25576,96,Married,4,Rent,0,27,463089,25653,4821.666667,437436,683.4043512,40.0
36,30890,590,Employed,10176,24,Divorced,2,Own,0,23,43010,28334,2574.166667,14676,506.3215206,53.333333333333336
22,15561,500,Employed,20169,36,Single,2,Rent,0,25,16965,5913,1296.75,11052,793.8209078,66.66666666666666
31,105957,530,Employed,53987,72,Single,0,Other,0,31,165299,69541,8829.75,95758,1718.377313,53.333333333333336
34,82887,545,Employed,20996,84,Divorced,2,Other,0,19,17748,117394,6907.25,4958,571.7878723,60.0
52,53555,631,Employed,29418,60,Divorced,1,Own,0,28,12300,27582,4462.916667,2753,808.5905594,50.0
44,105639,627,Employed,20409,108,Widowed,0,Rent,0,22,165235,22300,8803.25,142935,495.9515749,53.333333333333336
18,58342,519,Employed,10077,24,Single,3,Mortgage,0,20,25120,15562,4861.833333,9558,543.2493604,46.666666666666664
43,121939,653,Employed,41215,48,Divorced,0,Mortgage,0,30,188167,2457,10161.58333,185710,1220.726563,40.0
35,16054,526,Employed,20612,36,Married,1,Own,0,25,51140,11870,1337.833333,39270,799.6733391,53.333333333333336
31,36057,592,Employed,29501,36,Married,3,Other,0,18,19637,56982,3004.75,1500,1117.953612,66.66666666666666
47,124086,631,Employed,36798,24,Widowed,3,Mortgage,0,27,32072,21593,10340.5,10479,1815.227228,40.0
52,272693,586,Employed,19717,84,Married,0,Rent,0,19,94338,5443,22724.41667,88895,459.5963315,56.666666666666664
51,48757,615,Employed,16173,84,Divorced,3,Mortgage,0,28,39354,97462,4063.083333,3120,380.1899402,56.666666666666664
29,31683,498,Employed,10566,24,Married,2,Other,0,22,278821,123883,2640.25,154938,542.6665153,66.66666666666666
36,69003,499,Self-Employed,5376,96,Single,4,Mortgage,0,28,37496,23994,5750.25,13502,129.3875731,46.666666666666664
43,72408,616,Employed,23181,48,Married,0,Rent,1,22,22524,33442,6034.0,5786,771.4847976,73.33333333333333
51,105087,653,Employed,48331,108,Single,1,Mortgage,0,22,201313,59261,8757.25,142052,1208.153325,43.333333333333336
34,15000,607,Employed,26412,96,Married,1,Own,0,18,234374,11163,1250.0,223211,685.4486807,53.333333333333336
37,38513,600,Self-Employed,21225,48,Divorced,2,Rent,0,22,44836,28653,3209.416667,16183,681.5771431,66.66666666666666
26,77555,527,Employed,22854,36,Married,0,Rent,0,19,39027,9580,6462.916667,29447,849.255101,60.0
25,15000,576,Employed,18177,48,Single,0,Mortgage,0,25,99036,274582,1250.0,1077,572.5428041,53.333333333333336
49,24973,611,Employed,17466,48,Married,3,Own,0,23,44944,30121,2081.083333,14823,551.6544409,53.333333333333336
56,18248,574,Employed,16443,24,Divorced,0,Own,0,23,204131,11483,1520.666667,192648,815.9042462,56.666666666666664
39,67367,615,Self-Employed,26889,48,Married,1,Mortgage,0,29,115099,16012,5613.916667,99087,777.9871225,46.666666666666664
52,32418,647,Employed,32208,12,Married,2,Rent,0,26,326015,12696,2701.5,313319,2908.11798,50.0
44,26879,649,Employed,20313,60,Married,1,Rent,0,22,94575,23485,2239.916667,71090,536.9999395,66.66666666666666
32,54128,620,Employed,20676,36,Single,0,Mortgage,0,32,92000,4196,4510.666667,87804,745.1584242,46.666666666666664
44,19924,535,Employed,21767,48,Married,0,Mortgage,0,32,22711,8051,1660.333333,14660,782.629287,53.333333333333336
58,90788,672,Employed,18243,36,Married,2,Mortgage,0,20,13542,32218,7565.666667,5911,623.8822991,50.0
39,190445,619,Employed,28894,36,Single,3,Mortgage,0,24,154003,38230,15870.41667,115773,1094.712989,40.0
58,35372,612,Employed,25313,24,Married,1,Mortgage,0,20,123931,4752,2947.666667,119179,1284.618306,56.666666666666664
18,15000,570,Employed,50226,48,Married,1,Mortgage,0,16,153676,71478,1250.0,82198,1605.36257,66.66666666666666
49,40829,617,Employed,25478,36,Married,1,Mortgage,0,11,42122,7348,3402.416667,34774,920.2117649,53.333333333333336
41,58655,523,Employed,26493,96,Single,4,Mortgage,0,24,64414,41991,4887.916667,22423,795.1657823,46.666666666666664
36,68801,531,Employed,18652,36,Single,0,Rent,0,30,446359,16938,5733.416667,429421,777.3521551,40.0
41,92731,619,Employed,31116,48,Single,1,Rent,0,20,11209,14838,7727.583333,7629,972.6302006,60.0
18,40050,545,Self-Employed,112253,48,Married,1,Rent,0,33,18390,29714,3337.5,7672,4432.382784,80.0
37,40784,618,Employed,41465,72,Married,0,Own,0,26,197632,25549,3398.666667,172083,1228.160165,53.333333333333336
44,15000,588,Employed,26563,48,Married,0,Mortgage,0,24,496594,22556,1250.0,474038,822.2789888,33.33333333333333
57,86699,615,Employed,7469,60,Single,0,Rent,0,18,36531,70691,7224.916667,8130,197.405087,63.33333333333333
33,17676,540,Employed,17801,48,Married,4,Own,0,38,70945,22271,1473.0,48674,584.1709707,53.333333333333336
30,42752,517,Employed,14379,36,Married,2,Rent,0,18,172820,26438,3562.666667,146382,563.8738944,66.66666666666666
33,29096,570,Employed,40138,24,Married,3,Other,0,28,86250,50013,2424.666667,36237,2139.408949,66.66666666666666
50,60992,663,Employed,24642,48,Single,0,Rent,0,28,52202,13350,5082.666667,38852,771.6304126,63.33333333333333
43,100032,524,Employed,19105,60,Married,0,Mortgage,1,24,49889,4301,8336.0,45588,516.5148903,53.333333333333336
33,35882,620,Employed,9259,48,Single,0,Own,0,23,61154,91262,2990.166667,8266,281.7603872,53.333333333333336
46,32781,623,Employed,17468,60,Married,1,Other,0,23,299192,4938,2731.75,294254,494.5061264,46.666666666666664
41,51707,585,Employed,20069,72,Married,3,Rent,0,25,24114,24580,4308.916667,2253,563.2583043,60.0
51,31251,596,Unemployed,66582,24,Single,0,Rent,0,21,30153,37940,2604.25,3276,3545.091047,93.33333333333333
31,22359,524,Employed,26889,48,Married,2,Mortgage,0,14,131521,46881,1863.25,84640,877.6917767,53.333333333333336
36,152650,610,Employed,24815,48,Married,3,Other,0,21,127009,89100,12720.83333,37909,773.108261,53.333333333333336
35,15120,562,Self-Employed,21849,84,Married,0,Rent,0,24,18522,14697,1260.0,3825,544.9168705,66.66666666666666
22,59830,570,Self-Employed,22734,24,Single,2,Rent,0,29,449345,13537,4985.833333,435808,1129.080924,40.0
43,55308,645,Employed,19539,72,Single,0,Other,0,29,101618,7871,4609.0,93747,434.2651669,60.0
43,30948,601,Employed,25291,36,Married,0,Mortgage,0,19,99978,21318,2579.0,78660,970.2078724,53.333333333333336
40,56940,592,Employed,15752,96,Married,0,Mortgage,0,20,97769,33321,4745.0,64448,392.9661211,46.666666666666664
37,44000,539,Employed,28714,60,Married,3,Rent,0,10,331208,29418,3666.666667,301790,833.0142733,46.666666666666664
23,81554,509,Employed,35101,72,Married,1,Rent,0,23,84421,14641,6796.166667,69780,1093.628675,60.0
34,26567,612,Employed,17339,60,Single,1,Mortgage,0,17,55729,81589,2213.916667,9625,490.9800293,53.333333333333336
35,33569,596,Employed,37172,48,Divorced,0,Mortgage,0,20,56452,23346,2797.416667,33106,1180.384964,53.333333333333336
30,94238,608,Employed,15917,36,Married,3,Own,0,23,54668,13137,7853.166667,41531,581.5503892,46.666666666666664
38,45145,587,Employed,11431,48,Divorced,1,Mortgage,0,27,119670,26515,3762.083333,93155,345.4978469,53.333333333333336
44,70881,597,Employed,34590,48,Divorced,0,Rent,0,22,3628,21804,5906.75,1188,1078.870189,60.0
62,105240,656,Employed,13937,108,Widowed,3,Mortgage,1,32,62442,28628,8770.0,33814,306.3041271,56.666666666666664
42,63709,517,Unemployed,22221,48,Single,0,Mortgage,0,41,80888,12851,5309.083333,68037,756.0285458,60.0
43,31713,487,Self-Employed,38865,48,Married,1,Rent,0,20,49718,43113,2642.75,6605,1368.867256,66.66666666666666
39,29900,536,Employed,23396,72,Single,3,Mortgage,0,28,23801,36682,2491.666667,2585,703.0228597,53.333333333333336
18,87673,608,Employed,10667,72,Single,3,Mortgage,0,23,71561,5492,7306.083333,66069,280.8415073,46.666666666666664
39,55454,565,Self-Employed,35551,36,Married,3,Mortgage,0,22,33268,27329,4621.166667,5939,1421.31293,46.666666666666664
40,40722,558,Employed,31637,120,Married,2,Own,0,22,141270,20184,3393.5,121086,840.5550283,53.333333333333336
69,76571,680,Employed,34173,48,Married,1,Rent,0,20,78008,5915,6380.916667,72093,1023.811209,63.33333333333333
37,22901,525,Employed,18493,48,Married,2,Rent,0,25,99630,10098,1908.416667,89532,616.6902883,66.66666666666666
43,49421,609,Employed,17161,72,Married,3,Other,0,21,17627,40586,4118.416667,9540,470.8010354,66.66666666666666
39,43507,611,Employed,31845,48,Divorced,3,Rent,1,32,30751,34764,3625.583333,6480,1083.810066,80.0
25,41402,572,Employed,25900,36,Married,4,Mortgage,0,29,36312,37402,3450.166667,4623,1013.053306,53.333333333333336
53,37405,626,Employed,15770,48,Married,0,Mortgage,0,22,15028,29045,3117.083333,4530,485.031636,56.666666666666664
49,48399,564,Employed,19629,48,Single,0,Rent,0,18,91813,16583,4033.25,75230,666.3672619,66.66666666666666
49,44775,574,Employed,20270,48,Divorced,4,Mortgage,0,28,31257,64801,3731.25,8511,638.1928593,53.333333333333336
29,125711,580,Employed,12133,48,Widowed,0,Own,0,20,18425,10411,10475.91667,8014,381.0299962,40.0
56,15131,634,Employed,25599,48,Married,2,Rent,0,25,73848,15145,1260.916667,58703,818.1347931,70.0
23,73576,603,Employed,12055,36,Married,2,Other,0,26,50167,59651,6131.333333,4647,433.0636692,60.0
47,50345,602,Employed,18805,48,Married,1,Mortgage,0,24,50714,3537,4195.416667,47177,605.2927056,46.666666666666664
66,56816,669,Employed,20719,12,Single,2,Mortgage,0,28,636666,14955,4734.666667,621711,1859.728992,16.666666666666664
28,34588,621,Employed,18962,48,Single,0,Mortgage,0,36,89846,11153,2882.333333,78693,619.1897311,53.333333333333336
33,55383,565,Employed,9093,48,Married,3,Own,0,18,13714,6183,4615.25,7531,292.9212285,46.666666666666664
41,65180,551,Employed,15086,72,Married,2,Mortgage,0,24,64928,61849,5431.666667,3079,390.4395277,46.666666666666664
33,15000,523,Employed,13879,60,Married,2,Rent,0,29,27247,5651,1250.0,21596,423.0232759,66.66666666666666
21,149736,560,Employed,27917,48,Married,0,Own,0,27,290530,10999,12478.0,279531,861.8653947,20.0
40,42717,585,Employed,41561,24,Divorced,3,Other,0,21,48731,10782,3559.75,37949,2143.813798,66.66666666666666
27,66417,590,Employed,9493,48,Married,3,Mortgage,0,27,112110,24837,5534.75,87273,284.8361861,46.666666666666664
45,22121,602,Employed,18805,60,Divorced,3,Other,0,32,63386,7364,1843.416667,56022,538.7544132,66.66666666666666
28,37558,620,Employed,18686,60,Married,0,Rent,0,24,9316,17652,3129.833333,2660,524.3153018,66.66666666666666
58,134691,621,Employed,16421,24,Married,0,Rent,0,28,48831,27992,11224.25,20839,834.2114896,56.666666666666664
30,33101,539,Employed,29824,60,Married,0,Rent,0,17,220116,8784,2758.416667,211332,856.1962597,66.66666666666666
36,44364,439,Employed,5538,36,Divorced,1,Mortgage,0,26,203672,8223,3697.0,195449,222.0136238,53.333333333333336
49,38596,499,Employed,13078,36,Married,2,Other,0,24,40099,121827,3216.333333,4304,524.0681506,66.66666666666666
25,139954,439,Unemployed,40858,48,Single,0,Rent,0,28,51633,5937,11662.83333,45696,1500.854523,66.66666666666666
42,53444,521,Unemployed,16462,60,Married,0,Other,0,24,44150,32195,4453.666667,11955,520.6123709,73.33333333333333
55,113523,643,Employed,10990,60,Married,0,Own,0,25,130005,17536,9460.25,112469,293.551019,43.333333333333336
20,31270,581,Employed,6624,12,Married,1,Mortgage,0,27,78348,31210,2605.833333,47138,605.1855616,53.333333333333336
42,46717,520,Employed,20915,60,Divorced,4,Other,0,25,8920,11975,3893.083333,3094,608.6245936,66.66666666666666
43,56613,564,Employed,25148,36,Single,0,Mortgage,0,20,226679,47469,4717.75,179210,988.3808663,46.666666666666664
49,86882,612,Employed,51374,72,Married,1,Rent,0,35,45230,263937,7240.166667,4755,1472.689201,60.0
25,69876,598,Employed,17992,96,Single,1,Rent,0,31,19626,7056,5823.0,12570,461.8554917,60.0
24,32582,513,Self-Employed,26598,60,Divorced,0,Rent,0,24,32463,10978,2715.166667,21485,816.4890482,66.66666666666666
46,101562,612,Employed,30836,84,Divorced,3,Mortgage,0,26,62262,36152,8463.5,26110,754.401568,40.0
43,24611,548,Unemployed,21110,24,Married,0,Other,0,30,190056,20979,2050.916667,169077,1123.859894,80.0
43,22390,594,Employed,17603,120,Married,1,Own,0,19,24284,46780,1865.833333,8633,454.9331165,53.333333333333336
44,47430,605,Employed,32684,60,Married,5,Mortgage,0,31,57941,32526,3952.5,25415,925.8059034,53.333333333333336
31,57105,500,Employed,24760,36,Single,3,Rent,0,15,12750,12673,4758.75,1632,1008.31193,60.0
42,28751,536,Employed,30150,60,Married,0,Own,0,19,33961,20305,2395.916667,13656,900.7265158,53.333333333333336
43,43567,547,Employed,17390,24,Married,2,Mortgage,0,28,131041,11319,3630.583333,119722,917.707995,53.333333333333336
31,20113,575,Employed,27214,36,Married,1,Own,0,20,99134,46478,1676.083333,52656,1048.852878,53.333333333333336
62,52633,682,Unemployed,13197,120,Married,5,Own,1,22,51962,68554,4386.083333,6415,276.8821426,76.66666666666667
45,93617,557,Employed,10868,84,Single,0,Own,0,18,79807,54410,7801.416667,25397,272.9321558,46.666666666666664
25,34276,574,Employed,5163,96,Married,3,Rent,0,27,38198,5950,2856.333333,32248,125.3743364,66.66666666666666
47,25819,587,Self-Employed,12824,36,Married,0,Rent,0,30,63582,13848,2151.583333,49734,465.0233902,66.66666666666666
28,72220,546,Employed,11336,36,Married,1,Mortgage,0,27,125642,21847,6018.333333,103795,428.4952003,46.666666666666664
49,30032,594,Employed,5789,24,Single,0,Mortgage,0,32,87958,20361,2502.666667,67597,293.2641924,53.333333333333336
53,259639,545,Employed,39203,12,Single,3,Rent,0,26,22131,31385,21636.58333,2180,3647.080235,56.666666666666664
30,58238,628,Self-Employed,15647,48,Married,1,Mortgage,1,31,52153,9039,4853.166667,43114,473.487404,60.0
51,91953,618,Employed,21715,48,Married,5,Rent,0,30,33213,16233,7662.75,16980,650.4353504,63.33333333333333
44,22237,609,Employed,33644,60,Divorced,1,Rent,0,28,64119,23197,1853.083333,40922,941.3235675,66.66666666666666
49,74085,653,Employed,36208,12,Married,2,Other,0,32,70652,75471,6173.75,7553,3304.231999,60.0
62,33370,633,Employed,18943,24,Divorced,2,Rent,0,24,92153,124204,2780.833333,10973,950.6725135,70.0
37,36562,553,Employed,38934,48,Married,0,Own,0,26,2612797,9589,3046.833333,2603208,1230.434053,20.0
30,25658,583,Employed,6423,36,Married,3,Own,0,20,73838,16061,2138.166667,57777,237.8829964,53.333333333333336
29,75095,590,Employed,11657,120,Married,1,Rent,0,15,61242,19771,6257.916667,41471,329.8993647,60.0
30,50657,591,Employed,20536,48,Married,2,Mortgage,0,27,124093,16677,4221.416667,107416,620.4555409,46.666666666666664
39,48707,582,Employed,9741,36,Married,0,Other,0,30,118511,49436,4058.916667,69075,384.4670168,66.66666666666666
44,99138,524,Employed,23007,48,Single,4,Rent,0,25,10777,42553,8261.5,1156,755.6043743,60.0
43,48280,581,Employed,40424,36,Married,4,Rent,0,28,102225,18198,4023.333333,84027,1482.431411,66.66666666666666
49,88064,568,Employed,24156,120,Married,0,Other,0,28,161014,25181,7338.666667,135833,566.4924364,60.0
40,177855,625,Employed,17289,60,Married,0,Mortgage,0,24,100795,5297,14821.25,95498,489.0777212,40.0
57,55440,614,Employed,31937,12,Widowed,2,Own,0,25,32453,11335,4620.0,21118,2936.385522,50.0
36,44377,558,Employed,11938,36,Married,3,Rent,0,23,59951,7527,3698.083333,52424,450.0135497,66.66666666666666
72,115677,511,Employed,27962,24,Married,1,Own,0,26,89023,36001,9639.75,53022,1537.290226,43.333333333333336
47,163133,654,Employed,13145,36,Single,5,Mortgage,0,27,85222,23228,13594.41667,61994,485.8890018,40.0
29,51989,517,Employed,26850,72,Married,3,Mortgage,0,22,54547,10095,4332.416667,44452,822.1477906,46.666666666666664
27,28941,612,Employed,15007,60,Single,0,Mortgage,0,23,133058,88914,2411.75,44144,387.7529909,53.333333333333336
45,117455,652,Unemployed,19372,48,Divorced,3,Own,0,26,288436,9076,9787.916667,279360,574.9512772,33.33333333333333
37,68157,565,Employed,15091,36,Married,2,Mortgage,0,28,12695,66526,5679.75,3047,585.3517618,46.666666666666664
48,117456,579,Employed,17310,36,Married,5,Mortgage,0,18,31979,20558,9788.0,11421,660.0888872,40.0
45,84230,579,Employed,61376,72,Married,0,Rent,0,34,29842,14843,7019.166667,14999,1822.717368,60.0
39,47910,515,Employed,25068,24,Married,3,Mortgage,0,17,68899,11745,3992.5,57154,1324.369438,53.333333333333336
29,37709,557,Employed,27440,60,Married,1,Own,0,25,9716,16781,3142.416667,4672,895.7625781,53.333333333333336
21,73625,540,Employed,12927,24,Single,0,Mortgage,1,21,159098,20357,6135.416667,138741,663.3784316,60.0
34,19757,592,Employed,17292,120,Married,4,Rent,0,28,44477,106504,1646.416667,2757,399.1784068,66.66666666666666
50,111020,498,Employed,23552,12,Married,4,Rent,0,23,43095,13083,9251.666667,30012,2230.0373,56.666666666666664
42,54202,553,Unemployed,12176,60,Single,0,Rent,1,22,39483,98490,4516.833333,4212,349.5780008,86.66666666666667
25,36184,620,Employed,38807,48,Single,3,Other,0,38,68351,27576,3015.333333,40775,1171.678453,66.66666666666666
42,56320,603,Employed,21883,60,Married,0,Rent,0,31,326068,11532,4693.333333,314536,580.3166457,40.0
44,111257,487,Employed,18609,60,Single,0,Mortgage,0,25,24626,30649,9271.416667,1850,572.6492835,40.0
29,55172,606,Employed,40220,36,Married,0,Mortgage,0,31,82416,8200,4597.666667,74216,1544.05236,46.666666666666664
41,29020,583,Employed,16570,60,Married,2,Mortgage,0,23,22214,10612,2418.333333,11602,468.935416,53.333333333333336
40,19990,564,Employed,11236,24,Divorced,2,Mortgage,0,28,100659,7602,1665.833333,93057,567.351904,53.333333333333336
26,196442,600,Employed,25519,24,Single,1,Mortgage,0,25,9573,128864,16370.16667,6837,1297.744564,40.0
44,21725,630,Employed,38766,48,Single,0,Rent,0,10,90534,37492,1810.416667,53042,1262.494508,66.66666666666666
46,49098,472,Employed,31990,72,Married,3,Mortgage,0,27,22172,20084,4091.5,2088,1030.582079,53.333333333333336
52,33061,640,Employed,11580,36,Married,3,Own,0,19,144771,65760,2755.083333,79011,409.0368044,56.666666666666664
52,91077,550,Employed,37597,36,Single,4,Other,0,22,17299,34929,7589.75,5342,1579.166587,63.33333333333333
23,17270,593,Employed,28352,36,Single,2,Own,0,24,38825,12998,1439.166667,25827,1065.483539,53.333333333333336
28,137635,622,Employed,12414,48,Divorced,2,Own,0,18,13939,5554,11469.58333,8385,349.9949757,40.0
46,44523,613,Unemployed,12648,96,Married,3,Mortgage,0,30,25164,36282,3710.25,6932,310.0847436,66.66666666666666
46,40998,576,Employed,29172,48,Single,1,Mortgage,0,23,16901,30888,3416.5,7970,960.7096342,53.333333333333336
46,49839,558,Employed,34869,108,Single,3,Rent,1,26,15851,29182,4153.25,5439,1045.150848,80.0
80,48462,656,Employed,29111,72,Married,4,Rent,0,19,45290,66211,4038.5,5097,680.4873932,70.0
46,37268,535,Employed,26549,48,Married,0,Rent,0,19,29282,10542,3105.666667,18740,842.0263949,66.66666666666666
53,85512,628,Employed,20367,48,Single,1,Own,0,30,149155,52247,7126.0,96908,601.1702804,50.0
51,16619,617,Employed,22186,48,Widowed,5,Rent,0,23,54770,43575,1384.916667,11195,694.0975599,70.0
47,30548,490,Employed,22280,84,Married,0,Own,0,28,21711,29011,2545.666667,6851,654.4659853,53.333333333333336
36,108416,604,Unemployed,60460,72,Married,0,Own,0,22,67394,5965,9034.666667,61429,1546.860574,53.333333333333336
49,56255,571,Employed,14526,24,Married,0,Rent,0,19,366111,44654,4687.916667,321457,744.220698,40.0
30,35795,510,Employed,18086,36,Married,2,Rent,0,22,165933,34105,2982.916667,131828,715.6642372,66.66666666666666
37,20882,566,Employed,23838,48,Divorced,2,Mortgage,0,24,144098,56021,1740.166667,88077,748.9677588,53.333333333333336
34,21573,522,Employed,12419,48,Divorced,0,Other,0,28,51753,3910,1797.75,47843,399.2086432,66.66666666666666
40,86157,535,Employed,16775,36,Married,2,Mortgage,0,26,106697,33353,7179.75,73344,656.7397067,46.666666666666664
67,29708,626,Unemployed,44904,108,Divorced,1,Rent,0,16,98472,15326,2475.666667,83146,1307.98557,83.33333333333334
18,77920,578,Employed,20677,36,Divorced,2,Rent,0,26,36486,94587,6493.333333,5109,804.8666365,60.0
48,35187,574,Employed,82538,48,Married,1,Mortgage,0,25,24320,13229,2932.25,11091,2917.633022,53.333333333333336
20,53299,544,Self-Employed,36261,36,Divorced,0,Mortgage,0,25,175920,10093,4441.583333,165827,1503.626162,46.666666666666664
34,54605,614,Employed,12604,24,Single,1,Rent,0,30,13039,59277,4550.416667,3640,615.4635941,60.0
53,36754,505,Self-Employed,36455,36,Married,1,Mortgage,0,34,138955,21422,3062.833333,117533,1512.068674,56.666666666666664
40,37426,601,Employed,38810,24,Single,0,Mortgage,0,12,171618,1466,3118.833333,170152,1996.666475,53.333333333333336
27,29512,545,Employed,28201,60,Single,1,Mortgage,0,15,24830,65744,1250.0,3661,909.83449,53.333333333333336
31,34589,445,Employed,91631,60,Married,3,Rent,0,29,72147,55009,2882.416667,17138,3527.670993,66.66666666666666
48,56584,615,Unemployed,15122,36,Married,2,Mortgage,0,25,122221,6443,4715.333333,115778,547.5004526,60.0
31,32777,537,Employed,27822,60,Divorced,2,Mortgage,0,21,120149,5740,2731.416667,114409,777.9351425,53.333333333333336
42,70901,575,Self-Employed,20087,60,Married,0,Rent,0,29,43108,19402,5908.416667,23706,576.4971798,60.0
40,52184,574,Self-Employed,38284,48,Married,3,Rent,0,16,135135,52369,4348.666667,82766,1223.399309,60.0
32,43451,506,Employed,9077,36,Widowed,0,Rent,0,23,58686,11575,3620.916667,47111,359.2526523,66.66666666666666
65,23881,599,Employed,17067,60,Single,4,Own,0,23,38426,91806,1990.083333,5423,470.677622,56.666666666666664
47,44248,550,Self-Employed,21565,36,Single,2,Rent,0,28,70635,20206,3687.333333,50429,837.699992,66.66666666666666
18,15885,551,Employed,35284,84,Single,0,Other,0,23,302488,23662,1323.75,278826,1069.581358,46.666666666666664
